Tiempo_s,X_Robot,Y_Robot,Angulo_Grados,Estado_Robot
0.032,-0.375,0.375,270.0,WP:0
0.064,-0.375,0.37332638,270.0,WP:0
0.096,-0.375,0.37165276,270.0,WP:0
0.128,-0.375,0.37010788,270.0,WP:0
0.16,-0.375,0.36843426,270.0,WP:0
0.192,-0.375,0.36676064,270.0,WP:0
0.224,-0.375,0.36508702000000004,270.0,WP:0
0.256,-0.375,0.36341340000000005,270.0,WP:0
0.28800000000000003,-0.375,0.36186852,270.0,WP:0
0.32000000000000006,-0.375,0.36019490000000004,270.0,WP:0
0.3520000000000001,-0.375,0.35852128000000005,270.0,WP:0
0.3840000000000001,-0.375,0.35684766000000007,270.0,WP:0
0.41600000000000015,-0.375,0.3551740400000001,270.0,WP:0
0.4480000000000002,-0.375,0.35362916000000005,270.0,WP:0
0.4800000000000002,-0.375,0.35195554000000007,270.0,WP:0
0.5120000000000002,-0.375,0.3502819200000001,270.0,WP:0
0.5440000000000003,-0.375,0.3486083000000001,270.0,WP:0
0.5760000000000003,-0.375,0.3470634200000001,270.0,WP:0
0.6080000000000003,-0.375,0.34538980000000014,270.0,WP:0
0.6400000000000003,-0.375,0.34371618000000015,270.0,WP:0
0.6720000000000004,-0.375,0.34204256000000016,270.0,WP:0
0.7040000000000004,-0.375,0.3403689400000002,270.0,WP:0
0.7360000000000004,-0.375,0.33882406000000015,270.0,WP:0
0.7680000000000005,-0.375,0.33715044000000016,270.0,WP:0
0.8000000000000005,-0.375,0.3354768200000002,270.0,WP:0
0.8320000000000005,-0.375,0.3338032000000002,270.0,WP:0
0.8640000000000005,-0.375,0.3321295800000002,270.0,WP:0
0.8960000000000006,-0.375,0.33058470000000023,270.0,WP:0
0.9280000000000006,-0.375,0.32891108000000024,270.0,WP:0
0.9600000000000006,-0.375,0.32723746000000026,270.0,WP:0
0.9920000000000007,-0.375,0.32556384000000027,270.0,WP:0
1.0240000000000007,-0.375,0.3238902200000003,270.0,WP:0
1.0560000000000007,-0.375,0.3223453400000003,270.0,WP:0
1.0880000000000007,-0.375,0.3206717200000003,270.0,WP:0
1.1200000000000008,-0.375,0.31899810000000034,270.0,WP:0
1.1520000000000008,-0.375,0.31732448000000035,270.0,WP:0
1.1840000000000008,-0.375,0.31565086000000037,270.0,WP:0
1.2160000000000009,-0.375,0.3141059800000004,270.0,WP:0
1.2480000000000009,-0.375,0.3124323600000004,270.0,WP:0
1.280000000000001,-0.375,0.3107587400000004,270.0,WP:0
1.312000000000001,-0.375,0.30908512000000044,270.0,WP:0
1.344000000000001,-0.375,0.30741150000000045,270.0,WP:0
1.376000000000001,-0.375,0.3058666200000005,270.0,WP:0
1.408000000000001,-0.375,0.3041930000000005,270.0,WP:0
1.440000000000001,-0.375,0.3025193800000005,270.0,WP:0
1.472000000000001,-0.375,0.3008457600000005,270.0,WP:0
1.5040000000000011,-0.375,0.29930088000000055,270.0,WP:0
1.5360000000000011,-0.375,0.29762726000000056,270.0,WP:0
1.5680000000000012,-0.375,0.2959536400000006,270.0,WP:0
1.6000000000000012,-0.375,0.2942800200000006,270.0,WP:0
1.6320000000000012,-0.375,0.2926064000000006,270.0,WP:0
1.6640000000000013,-0.375,0.2910615200000006,270.0,WP:0
1.6960000000000013,-0.375,0.2893879000000006,270.0,WP:0
1.7280000000000013,-0.375,0.2877142800000006,270.0,WP:0
1.7600000000000013,-0.375,0.2860406600000006,270.0,WP:0
1.7920000000000014,-0.375,0.2843670400000006,270.0,WP:0
1.8240000000000014,-0.375,0.28282216000000066,270.0,WP:0
1.8560000000000014,-0.375,0.28114854000000067,270.0,WP:0
1.8880000000000015,-0.375,0.2794749200000007,270.0,WP:0
1.9200000000000015,-0.375,0.2778013000000007,270.0,WP:0
1.9520000000000015,-0.375,0.2761276800000007,270.0,WP:0
1.9840000000000015,-0.375,0.27458280000000074,270.0,WP:0
2.0160000000000013,-0.375,0.27290918000000075,270.0,WP:0
2.0480000000000014,-0.375,0.27123556000000076,270.0,WP:0
2.0800000000000014,-0.375,0.2695619400000008,270.0,WP:0
2.1120000000000014,-0.375,0.2678883200000008,270.0,WP:0
2.1440000000000015,-0.375,0.2663434400000008,270.0,WP:0
2.1760000000000015,-0.375,0.26466982000000083,270.0,WP:0
2.2080000000000015,-0.375,0.26299620000000085,270.0,WP:0
2.2400000000000015,-0.375,0.26132258000000086,270.0,WP:0
2.2720000000000016,-0.375,0.2596489600000009,270.0,WP:0
2.3040000000000016,-0.375,0.2581040800000009,270.0,WP:0
2.3360000000000016,-0.375,0.2564304600000009,270.0,WP:0
2.3680000000000017,-0.375,0.25475684000000093,270.0,WP:0
2.4000000000000017,-0.375,0.25308322000000094,270.0,WP:0
2.4320000000000017,-0.375,0.25153834000000097,270.0,WP:0
2.4640000000000017,-0.375,0.24986472000000096,270.0,WP:0
2.4960000000000018,-0.375,0.24819110000000094,270.0,WP:0
2.528000000000002,-0.375,0.24651748000000095,270.0,WP:0
2.560000000000002,-0.375,0.24484386000000094,270.0,WP:0
2.592000000000002,-0.375,0.24329898000000094,270.0,WP:0
2.624000000000002,-0.375,0.24162536000000093,270.0,WP:0
2.656000000000002,-0.375,0.2399517400000009,270.0,WP:0
2.688000000000002,-0.375,0.2382781200000009,270.0,WP:0
2.720000000000002,-0.375,0.23660450000000088,270.0,WP:0
2.752000000000002,-0.375,0.23505962000000089,270.0,WP:0
2.784000000000002,-0.375,0.23338600000000087,270.0,WP:0
2.816000000000002,-0.375,0.23171238000000088,270.0,WP:0
2.848000000000002,-0.375,0.23003876000000087,270.0,WP:0
